investigation_type,accident_number,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,far_description,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,Year,total_passengers,fatal_serious_injuries,fatal_serious_fraction,make_model
Accident,WPR13WA423,2013-09-23,"Hamilton Aerodrome, Australia, Australia",Australia,Fatal,Substantial,Airplane,Cessna,182 - R,No,,,,,1.0,0.0,0.0,0.0,,2013,1.0,1.0,1.0,Cessna 182 - R
Accident,CEN13LA562,2013-09-23,"Mack, CO",United States,Non-Fatal,Substantial,Airplane,Cirrus,SR22,No,1.0,Reciprocating,091,Business,0.0,1.0,0.0,2.0,VMC,2013,3.0,1.0,0.3333333333333333,Cirrus SR22
Accident,CEN13LA557,2013-09-24,"Urbana, IN",United States,Non-Fatal,Substantial,Airplane,Beechcraft,35 B33,No,1.0,Reciprocating,091,Personal,0.0,1.0,1.0,1.0,VMC,2013,3.0,1.0,0.3333333333333333,Beechcraft 35 B33
Accident,ANC13CA105,2013-09-24,"Big Lake, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA 18,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,2013,2.0,0.0,0.0,Piper PA 18
Accident,CEN13CA556,2013-09-24,"Wadsworth, OH",United States,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,091,Personal,0.0,0.0,1.0,0.0,VMC,2013,1.0,0.0,0.0,Cessna 152
Accident,CEN13WA566,2013-09-24,"Lyon, France",France,Fatal,Destroyed,Airplane,Cessna,421 - C,No,,,NUSN,Business,4.0,0.0,0.0,0.0,,2013,4.0,4.0,1.0,Cessna 421 - C
Accident,CEN13FA558,2013-09-25,"Bolingbrook, IL",United States,Fatal,Destroyed,Airplane,Cirrus,SR20,No,1.0,Reciprocating,091,Personal,2.0,0.0,0.0,0.0,VMC,2013,2.0,2.0,1.0,Cirrus SR20
Accident,CEN13LA565,2013-09-25,"Weatherford, OK",United States,Non-Fatal,Substantial,Airplane,Cessna,210-5(205),No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Cessna 210-5(205)
Accident,WPR13CA427,2013-09-27,"Dell, MT",United States,Non-Fatal,Substantial,Airplane,Aviat,A-1C-200,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,2013,2.0,0.0,0.0,Aviat A-1C-200
Incident,ENG13WA043,2013-09-27,"Cusco, Peru",Peru,Non-Fatal,,Airplane,Boeing,737 - 53C,No,2.0,Turbo Fan,,,0.0,0.0,0.0,114.0,,2013,114.0,0.0,0.0,Boeing 737 - 53C
Accident,WPR13CA428,2013-09-28,"Big Bear, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,182Q,No,1.0,Reciprocating,091,Personal,0.0,2.0,0.0,0.0,VMC,2013,2.0,2.0,1.0,Cessna 182Q
Accident,CEN13CA569,2013-09-29,"Hatley, WI",United States,Non-Fatal,Substantial,Airplane,Rans,RV 12,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Rans RV 12
Accident,WPR13LA431,2013-09-29,"Reno, NV",United States,Non-Fatal,,Airplane,Bombardier,DHC-8-402,No,2.0,Turbo Prop,121,,0.0,2.0,1.0,58.0,VMC,2013,61.0,2.0,0.03278688524590164,Bombardier DHC-8-402
Accident,ANC13CA106,2013-09-29,"Pilot Point, AK",United States,Non-Fatal,Substantial,Airplane,Cessna,185E,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Cessna 185E
Accident,CEN13LA571,2013-09-29,"Santa Teresa, NM",United States,Non-Fatal,Substantial,Airplane,Cessna,182J,No,1.0,Reciprocating,091,Skydiving,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Cessna 182J
Accident,ERA13CA436,2013-09-29,"Lumberton, NJ",United States,Non-Fatal,Substantial,Airplane,Beechcraft,A23 24,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Beechcraft A23 24
Accident,ERA13CA435,2013-09-30,"Thomaston, GA",United States,Non-Fatal,Substantial,Airplane,Aeronca,65 CA,No,1.0,Reciprocating,091,Personal,0.0,2.0,0.0,0.0,VMC,2013,2.0,2.0,1.0,Aeronca 65 CA
Accident,WPR13FA430,2013-09-30,"Santa Monica, CA",United States,Fatal,Destroyed,Airplane,Cessna,525A,No,2.0,Turbo Fan,091,Personal,4.0,0.0,0.0,0.0,VMC,2013,4.0,4.0,1.0,Cessna 525A
Accident,ANC13CA107,2013-09-30,"Wasilla, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA 18-150,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Piper PA 18-150
Accident,CEN13LA570,2013-09-30,"Algona, IA",United States,Non-Fatal,Substantial,Airplane,Piper,PA 28-181,No,1.0,Reciprocating,091,Instructional,0.0,0.0,0.0,2.0,VMC,2013,2.0,0.0,0.0,Piper PA 28-181
Accident,CEN13LA581,2013-09-30,"Rio Vista, TX",United States,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,3.0,VMC,2013,3.0,0.0,0.0,Cessna 172
Accident,WPR14CA002,2013-10-01,"Waco, TX",United States,Non-Fatal,Substantial,Airplane,Air Tractor,AT 401,No,1.0,Reciprocating,137,Aerial Application,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Air Tractor AT 401
Accident,WPR14CA003,2013-10-02,"Wellton, AZ",United States,Non-Fatal,Substantial,Airplane,Air Tractor,AT 402B,No,1.0,Turbo Prop,137,Aerial Application,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Air Tractor AT 402B
Accident,CEN14CA041,2013-10-02,"Benton Harbor, MI",United States,Non-Fatal,Substantial,Airplane,Piper,PA 28-180,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Piper PA 28-180
Incident,DCA14WA004,2013-10-03,"Changi, Senegal",Senegal,,,Airplane,Boeing,777-200,No,,,,,0.0,0.0,0.0,0.0,,2013,0.0,0.0,,Boeing 777-200
Accident,DCA14WA177,2013-10-03,"Lagos, Nigeria",Nigeria,,Destroyed,Airplane,Embraer,EMB120,No,,,NUSC,,0.0,0.0,0.0,0.0,,2013,0.0,0.0,,Embraer EMB120
Accident,WPR14LA005,2013-10-04,"Paulden, AZ",United States,Fatal,Substantial,Airplane,Cessna,340A,No,2.0,Reciprocating,091,Personal,4.0,0.0,0.0,0.0,VMC,2013,4.0,4.0,1.0,Cessna 340A
Accident,ERA14LA015,2013-10-04,"Selinsgrove, PA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22-135,No,1.0,Reciprocating,091,Personal,0.0,0.0,2.0,0.0,VMC,2013,2.0,0.0,0.0,Piper PA-22-135
Accident,ERA14LA008,2013-10-05,"Gainesville, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172 - F,No,1.0,Reciprocating,091,Banner Tow,0.0,2.0,0.0,0.0,VMC,2013,2.0,2.0,1.0,Cessna 172 - F
Accident,WPR14LA007,2013-10-06,"Tinian Island,",United States,Fatal,Destroyed,Airplane,Piper,PA32 - 300,No,1.0,Reciprocating,135,,3.0,0.0,4.0,0.0,VMC,2013,7.0,3.0,0.42857142857142855,Piper PA32 - 300
Accident,WPR14CA009,2013-10-06,"Tilden, TX",United States,Non-Fatal,Substantial,Airplane,Beechcraft,A36,No,1.0,Reciprocating,091,Personal,0.0,0.0,1.0,0.0,VMC,2013,1.0,0.0,0.0,Beechcraft A36
Accident,ANC14CA001,2013-10-07,"Iliamna, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA 18-150,No,1.0,Reciprocating,135,,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Piper PA 18-150
Accident,CEN14LA002,2013-10-08,"Brownwood, TX",United States,Non-Fatal,Substantial,Airplane,Beechcraft,S35,No,,Reciprocating,091,Personal,0.0,0.0,1.0,0.0,VMC,2013,1.0,0.0,0.0,Beechcraft S35
Accident,WPR14CA011,2013-10-08,"Sedona, AZ",United States,Non-Fatal,Substantial,Airplane,Mooney,M20J,No,1.0,Reciprocating,091,Personal,0.0,1.0,2.0,0.0,VMC,2013,3.0,1.0,0.3333333333333333,Mooney M20J
Incident,ERA14IA019,2013-10-08,"Tallahassee, FL",United States,Non-Fatal,Minor,Airplane,Piper,PA 46 350P,No,1.0,Turbo Prop,091,Business,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Piper PA 46 350P
Accident,ERA14LA050,2013-10-08,"Ridgely, MD",United States,Non-Fatal,Substantial,Airplane,Cessna,170,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Cessna 170
Accident,CEN14LA006,2013-10-09,"Xenia, OH",United States,Non-Fatal,Substantial,Airplane,Piper,PA-46-350P,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,2013,2.0,0.0,0.0,Piper PA-46-350P
